信号日,股票代码,因子值,分组,目标仓位,是否触发,滚动均值,滚动标准差,历史阈值
2018-06-14,300750.SZ,,0,-0.0,False,,,
2018-06-21,300750.SZ,0.4469914040114613,0,-0.0,False,,,
2018-06-28,300750.SZ,,0,-0.0,False,,,
2018-07-05,300750.SZ,,0,-0.0,False,,,
2018-07-12,300750.SZ,0.26060191518467857,0,-0.0,False,,,
2018-07-19,300750.SZ,-0.08032128514056225,0,-0.0,False,,,
2018-07-26,300750.SZ,-0.14056224899598396,0,-0.0,False,,,
2018-08-02,300750.SZ,-0.15127175368139223,0,-0.0,False,,,
2018-08-09,300750.SZ,0.18540829986613117,0,-0.0,False,,,
2018-08-16,300750.SZ,-0.3594377510040161,0,-0.0,False,,,
2018-08-23,300750.SZ,-0.09236947791164657,0,-0.0,False,,,
2018-08-30,300750.SZ,0.3601070950468541,0,-0.0,False,,,
2018-09-06,300750.SZ,0.048192771084337394,0,-0.0,False,,,
2018-09-13,300750.SZ,0.28647925033467203,0,-0.0,False,,,
2018-09-20,300750.SZ,0.33534136546184734,0,-0.0,False,,,
2018-09-27,300750.SZ,0.2242302543507363,0,-0.0,False,,,
2018-10-11,300750.SZ,-0.1285140562248996,0,-0.0,False,,,
2018-10-18,300750.SZ,0.21820615796519416,0,-0.0,False,,,
2018-10-25,300750.SZ,0.39892904953145913,0,-0.0,False,,,
2018-11-01,300750.SZ,-0.30990629183400265,0,-0.0,False,,,
2018-11-08,300750.SZ,0.25167336010709507,0,-0.0,False,,,
2018-11-15,300750.SZ,-0.44712182061579653,0,-0.0,False,,,
2018-11-22,300750.SZ,0.35809906291834004,0,-0.0,False,,,
2018-11-29,300750.SZ,0.04953145917001334,0,-0.0,False,,,
2018-12-06,300750.SZ,0.0689424364123159,0,-0.0,False,,,
2018-12-13,300750.SZ,0.21887550200803207,0,-0.0,False,,,
2018-12-20,300750.SZ,-0.22688477951635844,0,-0.0,False,,,
2018-12-27,300750.SZ,-0.45809659090909094,0,-0.0,False,,,
2019-01-03,300750.SZ,0.3655761024182077,1,-1.0,True,0.03832145482363615,0.251975311112229,0.2902967659358651
2019-01-10,300750.SZ,-0.009915014164305958,0,-0.0,False,0.034972483306253285,0.2474552144427631,0.2824276977490164
2019-01-17,300750.SZ,-0.06467315716272604,0,-0.0,False,0.036751289717319786,0.2461977796723908,0.2829490693897106
2019-01-24,300750.SZ,0.25166002656042497,0,-0.0,False,0.037028319962510395,0.25127581313512004,0.2883041330976304
2019-01-31,300750.SZ,-0.4050464807436919,0,-0.0,False,0.04750508759079244,0.2480422365387691,0.29554732412956153
2019-02-14,300750.SZ,0.2835325365205843,0,-0.0,False,0.0366490027823244,0.25239943884566035,0.28904844162798476
2019-02-21,300750.SZ,-0.27622841965471445,0,-0.0,False,0.03218939809531607,0.25955241865929274,0.2917418167546088
2019-02-28,300750.SZ,-0.28779840848806365,0,-0.0,False,0.021120075716485154,0.26331505239997827,0.28443512811646343
2019-03-07,300750.SZ,-0.32427055702917773,0,-0.0,False,0.003646911618892305,0.2611355477538754,0.2647824593727677
2019-03-14,300750.SZ,0.008620689655172376,0,-0.0,False,0.0004956534769818975,0.2672753672936068,0.2677710207705887
