信号日,股票代码,因子值,滚动均值,滚动标准差,历史阈值,分组,是否触发,目标仓位
2024-12-31,300750.SZ,1.082400000000007,,,,0,False,0.0
2025-01-02,300750.SZ,-13.474100000000021,,,,0,False,0.0
2025-01-03,300750.SZ,-2.146199999999965,,,,0,False,0.0
2025-01-06,300750.SZ,-1.6423000000000343,,,,0,False,0.0
2025-01-07,300750.SZ,13.623400000000004,,,,0,False,0.0
2025-01-08,300750.SZ,-7.670099999999991,,,,0,False,0.0
2025-01-09,300750.SZ,3.713700000000017,,,,0,False,0.0
2025-01-10,300750.SZ,-2.4820000000000277,,,,0,False,0.0
2025-01-13,300750.SZ,-1.6981999999999857,,,,0,False,0.0
2025-01-14,300750.SZ,-17.337200000000053,,,,0,False,0.0
2025-01-15,300750.SZ,-9.946900000000028,,,,0,False,0.0
2025-01-16,300750.SZ,1.7543000000000006,,,,0,False,0.0
2025-01-17,300750.SZ,2.930000000000007,,,,0,False,0.0
2025-01-20,300750.SZ,-26.1644,,,,0,False,0.0
2025-01-21,300750.SZ,-2.500699999999995,,,,0,False,0.0
2025-01-22,300750.SZ,11.533299999999997,,,,0,False,0.0
2025-01-23,300750.SZ,-0.9331000000000245,,,,0,False,0.0
2025-01-24,300750.SZ,-8.157000000000039,,,,0,False,0.0
2025-01-27,300750.SZ,-6.7882000000000176,,,,0,False,0.0
2025-02-05,300750.SZ,9.150800000000004,,,,0,False,0.0
2025-02-06,300750.SZ,-1.837699999999984,,,,0,False,0.0
2025-02-07,300750.SZ,-15.338900000000024,,,,0,False,0.0
2025-02-10,300750.SZ,-5.306700000000035,,,,0,False,0.0
2025-02-11,300750.SZ,12.46999999999997,,,,0,False,0.0
2025-02-12,300750.SZ,-6.563099999999963,,,,0,False,0.0
2025-02-13,300750.SZ,-11.419900000000041,,,,0,False,0.0
2025-02-14,300750.SZ,-15.601499999999987,,,,0,False,0.0
2025-02-17,300750.SZ,-0.5812999999999988,,,,0,False,0.0
2025-02-18,300750.SZ,2.568899999999985,,,,0,False,0.0
2025-02-19,300750.SZ,5.212999999999965,,,,0,False,0.0
2025-02-20,300750.SZ,-6.281799999999976,,,,0,False,0.0
2025-02-21,300750.SZ,-10.032199999999989,,,,0,False,0.0
2025-02-24,300750.SZ,-7.594499999999982,,,,0,False,0.0
2025-02-25,300750.SZ,-3.7878000000000043,,,,0,False,0.0
2025-02-26,300750.SZ,-1.6126999999999612,,,,0,False,0.0
2025-02-27,300750.SZ,-2.587799999999959,,,,0,False,0.0
2025-02-28,300750.SZ,-10.688599999999951,,,,0,False,0.0
2025-03-03,300750.SZ,-17.307900000000018,,,,0,False,0.0
2025-03-04,300750.SZ,-19.745600000000024,,,,0,False,0.0
2025-03-05,300750.SZ,-3.769100000000037,,,,0,False,0.0
2025-03-06,300750.SZ,-6.225600000000043,,,,0,False,0.0
2025-03-07,300750.SZ,-6.656900000000007,,,,0,False,0.0
2025-03-10,300750.SZ,7.988200000000006,,,,0,False,0.0
2025-03-11,300750.SZ,-2.4378000000000384,,,,0,False,0.0
2025-03-12,300750.SZ,1.312599999999975,,,,0,False,0.0
2025-03-13,300750.SZ,-2.400199999999984,,,,0,False,0.0
2025-03-14,300750.SZ,-16.464,,,,0,False,0.0
2025-03-17,300750.SZ,-11.251000000000033,,,,0,False,0.0
2025-03-18,300750.SZ,1.8751000000000317,,,,0,False,0.0
2025-03-19,300750.SZ,-15.732799999999997,,,,0,False,0.0
2025-03-20,300750.SZ,-6.0756000000000085,,,,0,False,0.0
2025-03-21,300750.SZ,11.53230000000002,,,,0,False,0.0
2025-03-24,300750.SZ,4.050400000000025,,,,0,False,0.0
2025-03-25,300750.SZ,2.4751999999999725,,,,0,False,0.0
2025-03-26,300750.SZ,4.8004999999999995,,,,0,False,0.0
2025-03-27,300750.SZ,-3.6754000000000246,,,,0,False,0.0
